,estacion,sentido,hora,categoria,cantidad
21073,FUSCA,BOG-CHI,12,IV,6
21074,FUSCA,BOG-CHI,13,IV,3
21075,FUSCA,BOG-CHI,14,IV,2
21076,FUSCA,BOG-CHI,15,IV,2
21077,FUSCA,BOG-CHI,17,IV,1
21078,FUSCA,BOG-CHI,18,IV,4
21079,FUSCA,BOG-CHI,20,IV,1
21080,FUSCA,BOG-CHI,21,IV,1
21081,FUSCA,BOG-CHI,4,V,2
21082,FUSCA,BOG-CHI,6,V,2
21083,FUSCA,BOG-CHI,7,V,1
21084,FUSCA,BOG-CHI,8,V,2
21085,FUSCA,BOG-CHI,10,V,3
21086,FUSCA,BOG-CHI,11,V,1
21087,FUSCA,BOG-CHI,12,V,3
21088,FUSCA,BOG-CHI,13,V,1
21089,FUSCA,BOG-CHI,14,V,1
21090,FUSCA,BOG-CHI,15,V,1
21091,FUSCA,BOG-CHI,16,V,3
21092,FUSCA,BOG-CHI,12,VI,1
21093,FUSCA,BOG-CHI,16,VI,2
21094,FUSCA,BOG-CHI,18,VI,1
21095,FUSCA,BOG-CHI,20,VI,1
21096,UNISABANA,BOG-CHI,1,V,1
21097,UNISABANA,BOG-CHI,2,V,4
21098,UNISABANA,BOG-CHI,3,V,2
21099,UNISABANA,BOG-CHI,4,V,1
21100,UNISABANA,BOG-CHI,5,V,3
21101,UNISABANA,BOG-CHI,6,V,8
21102,UNISABANA,BOG-CHI,7,V,4
21103,UNISABANA,BOG-CHI,8,V,10
21104,UNISABANA,BOG-CHI,9,V,9
21105,UNISABANA,BOG-CHI,10,V,8
21106,UNISABANA,BOG-CHI,11,V,6
21107,UNISABANA,BOG-CHI,12,V,4
21108,UNISABANA,BOG-CHI,13,V,5
21109,UNISABANA,BOG-CHI,14,V,1
21110,UNISABANA,BOG-CHI,15,V,8
21111,UNISABANA,BOG-CHI,16,V,5
21112,UNISABANA,BOG-CHI,17,V,3
21113,UNISABANA,BOG-CHI,18,V,1
21114,UNISABANA,BOG-CHI,19,V,3
21115,UNISABANA,BOG-CHI,20,V,4
21116,UNISABANA,BOG-CHI,21,V,5
21117,UNISABANA,BOG-CHI,22,V,1
21118,UNISABANA,BOG-CHI,23,V,2
21119,UNISABANA,BOG-CHI,0,VI,2
21120,UNISABANA,BOG-CHI,2,VI,2
21121,UNISABANA,BOG-CHI,3,VI,3
21122,UNISABANA,BOG-CHI,4,VI,1
21123,UNISABANA,BOG-CHI,5,VI,3
21124,UNISABANA,BOG-CHI,6,VI,1
21125,UNISABANA,BOG-CHI,7,VI,1
21126,UNISABANA,BOG-CHI,8,VI,5
21127,UNISABANA,BOG-CHI,9,VI,3
21128,UNISABANA,BOG-CHI,10,VI,12
21129,UNISABANA,BOG-CHI,11,VI,9
21130,UNISABANA,BOG-CHI,12,VI,5
21131,UNISABANA,BOG-CHI,13,VI,6
21132,UNISABANA,BOG-CHI,14,VI,4
21133,UNISABANA,BOG-CHI,15,VI,4
21134,UNISABANA,BOG-CHI,16,VI,4
21135,UNISABANA,BOG-CHI,17,VI,6
21136,UNISABANA,BOG-CHI,18,VI,7
21137,UNISABANA,BOG-CHI,19,VI,5
21138,UNISABANA,BOG-CHI,20,VI,7
21139,UNISABANA,BOG-CHI,21,VI,4
21140,UNISABANA,BOG-CHI,23,VI,3
21141,UNISABANA,BOG-CHI,0,VII,1
21142,UNISABANA,BOG-CHI,1,VII,1
21143,UNISABANA,BOG-CHI,3,VII,3
21144,UNISABANA,BOG-CHI,4,VII,8
21145,UNISABANA,BOG-CHI,5,VII,5
21146,UNISABANA,BOG-CHI,6,VII,3
21147,UNISABANA,BOG-CHI,7,VII,1
21148,UNISABANA,BOG-CHI,8,VII,4
21149,UNISABANA,BOG-CHI,9,VII,10
21150,UNISABANA,BOG-CHI,10,VII,7
21151,UNISABANA,BOG-CHI,11,VII,2
21152,UNISABANA,BOG-CHI,12,VII,5
21153,UNISABANA,BOG-CHI,13,VII,7
21154,UNISABANA,BOG-CHI,14,VII,3
21155,UNISABANA,BOG-CHI,15,VII,9
21156,UNISABANA,BOG-CHI,16,VII,4
21157,UNISABANA,BOG-CHI,17,VII,4
21158,UNISABANA,BOG-CHI,18,VII,1
21159,UNISABANA,BOG-CHI,19,VII,2
21160,UNISABANA,BOG-CHI,20,VII,2
21161,UNISABANA,BOG-CHI,21,VII,3
21162,UNISABANA,BOG-CHI,22,VII,1
21163,UNISABANA,BOG-CHI,23,VII,2
21164,ANDES,BOG-CHI,16,I,2
21165,ANDES,BOG-CHI,17,I,1500
21166,ANDES,BOG-CHI,21,I,1
21167,ANDES,BOG-CHI,0,I,271
21168,ANDES,BOG-CHI,1,I,136
21169,ANDES,BOG-CHI,2,I,94
21170,ANDES,BOG-CHI,3,I,146
21171,ANDES,BOG-CHI,4,I,393
21172,ANDES,BOG-CHI,5,I,1350
21173,ANDES,BOG-CHI,6,I,1577
21174,ANDES,BOG-CHI,7,I,879
21175,ANDES,BOG-CHI,8,I,1432
21176,ANDES,BOG-CHI,9,I,1488
21177,ANDES,BOG-CHI,10,I,1420
21178,ANDES,BOG-CHI,11,I,1234
21179,ANDES,BOG-CHI,12,I,1288
21180,ANDES,BOG-CHI,13,I,1712
21181,ANDES,BOG-CHI,14,I,1593
21182,ANDES,BOG-CHI,15,I,1891
21183,ANDES,BOG-CHI,16,I,1823
21184,ANDES,BOG-CHI,17,I,1493
21185,ANDES,BOG-CHI,18,I,1866
21186,ANDES,BOG-CHI,19,I,1744
21187,ANDES,BOG-CHI,20,I,2039
21188,ANDES,BOG-CHI,21,I,1820
21189,ANDES,BOG-CHI,22,I,1258
21190,ANDES,BOG-CHI,23,I,769
21191,ANDES,BOG-CHI,0,II,9
21192,ANDES,BOG-CHI,1,II,3
21193,ANDES,BOG-CHI,2,II,3
21194,ANDES,BOG-CHI,3,II,4
21195,ANDES,BOG-CHI,4,II,26
21196,ANDES,BOG-CHI,5,II,140
21197,ANDES,BOG-CHI,6,II,225
21198,ANDES,BOG-CHI,7,II,163
21199,ANDES,BOG-CHI,8,II,185
21200,ANDES,BOG-CHI,9,II,150
21201,ANDES,BOG-CHI,10,II,133
21202,ANDES,BOG-CHI,11,II,117
21203,ANDES,BOG-CHI,12,II,113
21204,ANDES,BOG-CHI,13,II,141
21205,ANDES,BOG-CHI,14,II,126
21206,ANDES,BOG-CHI,15,II,163
21207,ANDES,BOG-CHI,16,II,159
21208,ANDES,BOG-CHI,17,II,169
21209,ANDES,BOG-CHI,18,II,160
21210,ANDES,BOG-CHI,19,II,147
21211,ANDES,BOG-CHI,20,II,93
21212,ANDES,BOG-CHI,21,II,103
21213,ANDES,BOG-CHI,22,II,49
21214,ANDES,BOG-CHI,23,II,23
21215,ANDES,BOG-CHI,0,III,22
21216,ANDES,BOG-CHI,1,III,24
21217,ANDES,BOG-CHI,2,III,23
21218,ANDES,BOG-CHI,3,III,46
21219,ANDES,BOG-CHI,4,III,87
21220,ANDES,BOG-CHI,5,III,126
21221,ANDES,BOG-CHI,6,III,116
21222,ANDES,BOG-CHI,7,III,76
21223,ANDES,BOG-CHI,8,III,138
