,estacion,sentido,hora,categoria,valorTabulado,fecha
209,UNISABANA,BOG-CHI,9,VI,45000,2021-08-01
210,UNISABANA,BOG-CHI,10,VI,45000,2021-08-01
211,UNISABANA,BOG-CHI,11,VI,90000,2021-08-01
212,UNISABANA,BOG-CHI,13,VI,45000,2021-08-01
213,UNISABANA,BOG-CHI,15,VI,45000,2021-08-01
214,UNISABANA,BOG-CHI,16,VI,45000,2021-08-01
215,UNISABANA,BOG-CHI,19,VI,45000,2021-08-01
216,UNISABANA,BOG-CHI,22,VI,45000,2021-08-01
217,UNISABANA,BOG-CHI,23,VI,135000,2021-08-01
218,UNISABANA,BOG-CHI,2,VII,49900,2021-08-01
219,UNISABANA,BOG-CHI,6,VII,149700,2021-08-01
220,UNISABANA,BOG-CHI,7,VII,49900,2021-08-01
221,UNISABANA,BOG-CHI,8,VII,99800,2021-08-01
222,UNISABANA,BOG-CHI,9,VII,149700,2021-08-01
223,UNISABANA,BOG-CHI,10,VII,99800,2021-08-01
224,UNISABANA,BOG-CHI,11,VII,249500,2021-08-01
225,UNISABANA,BOG-CHI,12,VII,49900,2021-08-01
226,UNISABANA,BOG-CHI,13,VII,249500,2021-08-01
227,UNISABANA,BOG-CHI,14,VII,99800,2021-08-01
228,UNISABANA,BOG-CHI,15,VII,149700,2021-08-01
229,UNISABANA,BOG-CHI,16,VII,49900,2021-08-01
230,UNISABANA,BOG-CHI,19,VII,99800,2021-08-01
231,UNISABANA,BOG-CHI,20,VII,49900,2021-08-01
232,UNISABANA,BOG-CHI,21,VII,99800,2021-08-01
233,UNISABANA,BOG-CHI,23,VII,49900,2021-08-01
234,ANDES,BOG-CHI,17,I,39130000,2021-08-01
235,ANDES,BOG-CHI,0,I,1674400,2021-08-02
236,ANDES,BOG-CHI,1,I,655200,2021-08-02
237,ANDES,BOG-CHI,2,I,573300,2021-08-02
238,ANDES,BOG-CHI,3,I,782600,2021-08-02
239,ANDES,BOG-CHI,4,I,2793700,2021-08-02
240,ANDES,BOG-CHI,5,I,10483200,2021-08-02
241,ANDES,BOG-CHI,6,I,15324400,2021-08-02
242,ANDES,BOG-CHI,7,I,9946300,2021-08-02
243,ANDES,BOG-CHI,8,I,12330500,2021-08-02
244,ANDES,BOG-CHI,9,I,14059500,2021-08-02
245,ANDES,BOG-CHI,10,I,13513500,2021-08-02
246,ANDES,BOG-CHI,11,I,12285000,2021-08-02
247,ANDES,BOG-CHI,12,I,13231400,2021-08-02
248,ANDES,BOG-CHI,13,I,13304200,2021-08-02
249,ANDES,BOG-CHI,14,I,16152500,2021-08-02
250,ANDES,BOG-CHI,15,I,14933100,2021-08-02
251,ANDES,BOG-CHI,16,I,13094900,2021-08-02
252,ANDES,BOG-CHI,17,I,14132300,2021-08-02
253,ANDES,BOG-CHI,18,I,13986700,2021-08-02
254,ANDES,BOG-CHI,19,I,13085800,2021-08-02
255,ANDES,BOG-CHI,20,I,11702600,2021-08-02
256,ANDES,BOG-CHI,21,I,6870500,2021-08-02
257,ANDES,BOG-CHI,22,I,4022200,2021-08-02
258,ANDES,BOG-CHI,23,I,2102100,2021-08-02
259,ANDES,BOG-CHI,0,II,126400,2021-08-02
260,ANDES,BOG-CHI,1,II,63200,2021-08-02
261,ANDES,BOG-CHI,2,II,47400,2021-08-02
262,ANDES,BOG-CHI,3,II,47400,2021-08-02
263,ANDES,BOG-CHI,4,II,205400,2021-08-02
264,ANDES,BOG-CHI,5,II,2022400,2021-08-02
265,ANDES,BOG-CHI,6,II,3776200,2021-08-02
266,ANDES,BOG-CHI,7,II,2449000,2021-08-02
267,ANDES,BOG-CHI,8,II,2433200,2021-08-02
268,ANDES,BOG-CHI,9,II,1911800,2021-08-02
269,ANDES,BOG-CHI,10,II,1896000,2021-08-02
270,ANDES,BOG-CHI,11,II,1896000,2021-08-02
271,ANDES,BOG-CHI,12,II,1817000,2021-08-02
272,ANDES,BOG-CHI,13,II,2054000,2021-08-02
273,ANDES,BOG-CHI,14,II,1817000,2021-08-02
274,ANDES,BOG-CHI,15,II,2259400,2021-08-02
275,ANDES,BOG-CHI,16,II,2385800,2021-08-02
276,ANDES,BOG-CHI,17,II,2291000,2021-08-02
277,ANDES,BOG-CHI,18,II,2133000,2021-08-02
278,ANDES,BOG-CHI,19,II,1674800,2021-08-02
279,ANDES,BOG-CHI,20,II,1216600,2021-08-02
280,ANDES,BOG-CHI,21,II,1042800,2021-08-02
281,ANDES,BOG-CHI,22,II,505600,2021-08-02
282,ANDES,BOG-CHI,23,II,158000,2021-08-02
283,ANDES,BOG-CHI,0,III,163200,2021-08-02
284,ANDES,BOG-CHI,1,III,183600,2021-08-02
285,ANDES,BOG-CHI,2,III,173400,2021-08-02
286,ANDES,BOG-CHI,3,III,193800,2021-08-02
287,ANDES,BOG-CHI,4,III,571200,2021-08-02
288,ANDES,BOG-CHI,5,III,969000,2021-08-02
289,ANDES,BOG-CHI,6,III,1030200,2021-08-02
290,ANDES,BOG-CHI,7,III,969000,2021-08-02
291,ANDES,BOG-CHI,8,III,877200,2021-08-02
292,ANDES,BOG-CHI,9,III,1132200,2021-08-02
293,ANDES,BOG-CHI,10,III,1193400,2021-08-02
294,ANDES,BOG-CHI,11,III,1377000,2021-08-02
295,ANDES,BOG-CHI,12,III,999600,2021-08-02
296,ANDES,BOG-CHI,13,III,1050600,2021-08-02
297,ANDES,BOG-CHI,14,III,979200,2021-08-02
298,ANDES,BOG-CHI,15,III,1111800,2021-08-02
299,ANDES,BOG-CHI,16,III,948600,2021-08-02
300,ANDES,BOG-CHI,17,III,622200,2021-08-02
301,ANDES,BOG-CHI,18,III,652800,2021-08-02
302,ANDES,BOG-CHI,19,III,591600,2021-08-02
303,ANDES,BOG-CHI,20,III,438600,2021-08-02
304,ANDES,BOG-CHI,21,III,479400,2021-08-02
305,ANDES,BOG-CHI,22,III,387600,2021-08-02
306,ANDES,BOG-CHI,23,III,316200,2021-08-02
307,ANDES,BOG-CHI,0,IV,207000,2021-08-02
308,ANDES,BOG-CHI,1,IV,253000,2021-08-02
309,ANDES,BOG-CHI,2,IV,230000,2021-08-02
310,ANDES,BOG-CHI,3,IV,368000,2021-08-02
311,ANDES,BOG-CHI,4,IV,460000,2021-08-02
312,ANDES,BOG-CHI,5,IV,805000,2021-08-02
313,ANDES,BOG-CHI,6,IV,874000,2021-08-02
314,ANDES,BOG-CHI,7,IV,483000,2021-08-02
315,ANDES,BOG-CHI,8,IV,345000,2021-08-02
316,ANDES,BOG-CHI,9,IV,805000,2021-08-02
317,ANDES,BOG-CHI,10,IV,713000,2021-08-02
318,ANDES,BOG-CHI,11,IV,736000,2021-08-02
319,ANDES,BOG-CHI,12,IV,1104000,2021-08-02
320,ANDES,BOG-CHI,13,IV,713000,2021-08-02
321,ANDES,BOG-CHI,14,IV,828000,2021-08-02
322,ANDES,BOG-CHI,15,IV,644000,2021-08-02
323,ANDES,BOG-CHI,16,IV,989000,2021-08-02
324,ANDES,BOG-CHI,17,IV,736000,2021-08-02
325,ANDES,BOG-CHI,18,IV,575000,2021-08-02
326,ANDES,BOG-CHI,19,IV,667000,2021-08-02
327,ANDES,BOG-CHI,20,IV,575000,2021-08-02
328,ANDES,BOG-CHI,21,IV,575000,2021-08-02
329,ANDES,BOG-CHI,22,IV,506000,2021-08-02
330,ANDES,BOG-CHI,23,IV,230000,2021-08-02
331,ANDES,BOG-CHI,1,V,35000,2021-08-02
332,ANDES,BOG-CHI,2,V,175000,2021-08-02
333,ANDES,BOG-CHI,3,V,210000,2021-08-02
334,ANDES,BOG-CHI,4,V,490000,2021-08-02
335,ANDES,BOG-CHI,5,V,805000,2021-08-02
336,ANDES,BOG-CHI,6,V,595000,2021-08-02
337,ANDES,BOG-CHI,7,V,210000,2021-08-02
338,ANDES,BOG-CHI,8,V,630000,2021-08-02
339,ANDES,BOG-CHI,9,V,700000,2021-08-02
340,ANDES,BOG-CHI,10,V,1085000,2021-08-02
341,ANDES,BOG-CHI,11,V,595000,2021-08-02
342,ANDES,BOG-CHI,12,V,630000,2021-08-02
343,ANDES,BOG-CHI,13,V,770000,2021-08-02
344,ANDES,BOG-CHI,14,V,980000,2021-08-02
345,ANDES,BOG-CHI,15,V,420000,2021-08-02
346,ANDES,BOG-CHI,16,V,770000,2021-08-02
347,ANDES,BOG-CHI,17,V,525000,2021-08-02
348,ANDES,BOG-CHI,18,V,350000,2021-08-02
349,ANDES,BOG-CHI,19,V,455000,2021-08-02
350,ANDES,BOG-CHI,20,V,315000,2021-08-02
351,ANDES,BOG-CHI,21,V,175000,2021-08-02
352,ANDES,BOG-CHI,22,V,245000,2021-08-02
353,ANDES,BOG-CHI,23,V,140000,2021-08-02
354,ANDES,BOG-CHI,0,VI,135000,2021-08-02
355,ANDES,BOG-CHI,1,VI,135000,2021-08-02
356,ANDES,BOG-CHI,2,VI,540000,2021-08-02
357,ANDES,BOG-CHI,3,VI,540000,2021-08-02
358,ANDES,BOG-CHI,4,VI,1080000,2021-08-02
359,ANDES,BOG-CHI,5,VI,1260000,2021-08-02
360,ANDES,BOG-CHI,6,VI,720000,2021-08-02
361,ANDES,BOG-CHI,7,VI,360000,2021-08-02
362,ANDES,BOG-CHI,8,VI,630000,2021-08-02
363,ANDES,BOG-CHI,9,VI,1125000,2021-08-02
364,ANDES,BOG-CHI,10,VI,495000,2021-08-02
365,ANDES,BOG-CHI,11,VI,540000,2021-08-02
366,ANDES,BOG-CHI,12,VI,1080000,2021-08-02
367,ANDES,BOG-CHI,13,VI,1080000,2021-08-02
368,ANDES,BOG-CHI,14,VI,990000,2021-08-02
369,ANDES,BOG-CHI,15,VI,1260000,2021-08-02
370,ANDES,BOG-CHI,16,VI,1980000,2021-08-02
371,ANDES,BOG-CHI,17,VI,990000,2021-08-02
372,ANDES,BOG-CHI,18,VI,810000,2021-08-02
373,ANDES,BOG-CHI,19,VI,765000,2021-08-02
374,ANDES,BOG-CHI,20,VI,765000,2021-08-02
375,ANDES,BOG-CHI,21,VI,630000,2021-08-02
376,ANDES,BOG-CHI,22,VI,720000,2021-08-02
377,ANDES,BOG-CHI,23,VI,450000,2021-08-02
378,ANDES,BOG-CHI,0,VII,548900,2021-08-02
379,ANDES,BOG-CHI,1,VII,548900,2021-08-02
380,ANDES,BOG-CHI,2,VII,748500,2021-08-02
381,ANDES,BOG-CHI,3,VII,1047900,2021-08-02
382,ANDES,BOG-CHI,4,VII,2345300,2021-08-02
383,ANDES,BOG-CHI,5,VII,3393200,2021-08-02
384,ANDES,BOG-CHI,6,VII,1646700,2021-08-02
385,ANDES,BOG-CHI,7,VII,598800,2021-08-02
386,ANDES,BOG-CHI,8,VII,449100,2021-08-02
387,ANDES,BOG-CHI,9,VII,1447100,2021-08-02
388,ANDES,BOG-CHI,10,VII,1347300,2021-08-02
389,ANDES,BOG-CHI,11,VII,1397200,2021-08-02
390,ANDES,BOG-CHI,12,VII,1996000,2021-08-02
391,ANDES,BOG-CHI,13,VII,2295400,2021-08-02
392,ANDES,BOG-CHI,14,VII,1546900,2021-08-02
393,ANDES,BOG-CHI,15,VII,1846300,2021-08-02
394,ANDES,BOG-CHI,16,VII,1946100,2021-08-02
395,ANDES,BOG-CHI,17,VII,1147700,2021-08-02
396,ANDES,BOG-CHI,18,VII,1147700,2021-08-02
397,ANDES,BOG-CHI,19,VII,1097800,2021-08-02
398,ANDES,BOG-CHI,20,VII,1097800,2021-08-02
399,ANDES,BOG-CHI,21,VII,1247500,2021-08-02
400,ANDES,BOG-CHI,22,VII,1147700,2021-08-02
401,ANDES,BOG-CHI,23,VII,499000,2021-08-02
402,FUSCA,BOG-CHI,0,I,18200,2021-08-02
403,FUSCA,BOG-CHI,2,I,9100,2021-08-02
404,FUSCA,BOG-CHI,4,I,91000,2021-08-02
405,FUSCA,BOG-CHI,5,I,591500,2021-08-02
406,FUSCA,BOG-CHI,6,I,1547000,2021-08-02
407,FUSCA,BOG-CHI,7,I,1683500,2021-08-02
408,FUSCA,BOG-CHI,8,I,1419600,2021-08-02
409,FUSCA,BOG-CHI,9,I,1219400,2021-08-02
410,FUSCA,BOG-CHI,10,I,573300,2021-08-02
411,FUSCA,BOG-CHI,11,I,1292200,2021-08-02
412,FUSCA,BOG-CHI,12,I,1237600,2021-08-02
413,FUSCA,BOG-CHI,13,I,1274000,2021-08-02
414,FUSCA,BOG-CHI,14,I,1510600,2021-08-02
415,FUSCA,BOG-CHI,15,I,1829100,2021-08-02
416,FUSCA,BOG-CHI,16,I,1374100,2021-08-02
417,FUSCA,BOG-CHI,17,I,1119300,2021-08-02
418,FUSCA,BOG-CHI,18,I,1192100,2021-08-02
419,FUSCA,BOG-CHI,19,I,755300,2021-08-02
420,FUSCA,BOG-CHI,20,I,591500,2021-08-02
421,FUSCA,BOG-CHI,21,I,318500,2021-08-02
422,FUSCA,BOG-CHI,22,I,127400,2021-08-02
423,FUSCA,BOG-CHI,23,I,45500,2021-08-02
424,FUSCA,BOG-CHI,5,II,63200,2021-08-02
425,FUSCA,BOG-CHI,6,II,126400,2021-08-02
426,FUSCA,BOG-CHI,7,II,47400,2021-08-02
427,FUSCA,BOG-CHI,8,II,15800,2021-08-02
428,FUSCA,BOG-CHI,9,II,15800,2021-08-02
429,FUSCA,BOG-CHI,11,II,15800,2021-08-02
430,FUSCA,BOG-CHI,12,II,15800,2021-08-02
431,FUSCA,BOG-CHI,13,II,15800,2021-08-02
432,FUSCA,BOG-CHI,14,II,15800,2021-08-02
433,FUSCA,BOG-CHI,15,II,126400,2021-08-02
434,FUSCA,BOG-CHI,16,II,15800,2021-08-02
435,FUSCA,BOG-CHI,18,II,15800,2021-08-02
436,FUSCA,BOG-CHI,21,II,15800,2021-08-02
437,FUSCA,BOG-CHI,6,III,40800,2021-08-02
438,FUSCA,BOG-CHI,7,III,71400,2021-08-02
439,FUSCA,BOG-CHI,8,III,51000,2021-08-02
440,FUSCA,BOG-CHI,9,III,40800,2021-08-02
441,FUSCA,BOG-CHI,10,III,71400,2021-08-02
442,FUSCA,BOG-CHI,11,III,61200,2021-08-02
443,FUSCA,BOG-CHI,12,III,71400,2021-08-02
444,FUSCA,BOG-CHI,13,III,102000,2021-08-02
445,FUSCA,BOG-CHI,14,III,61200,2021-08-02
446,FUSCA,BOG-CHI,15,III,30600,2021-08-02
447,FUSCA,BOG-CHI,16,III,40800,2021-08-02
448,FUSCA,BOG-CHI,18,III,10200,2021-08-02
449,FUSCA,BOG-CHI,20,III,10200,2021-08-02
450,FUSCA,BOG-CHI,21,III,10200,2021-08-02
451,FUSCA,BOG-CHI,4,IV,69000,2021-08-02
452,FUSCA,BOG-CHI,5,IV,69000,2021-08-02
453,FUSCA,BOG-CHI,6,IV,184000,2021-08-02
454,FUSCA,BOG-CHI,7,IV,161000,2021-08-02
455,FUSCA,BOG-CHI,8,IV,69000,2021-08-02
456,FUSCA,BOG-CHI,9,IV,115000,2021-08-02
457,FUSCA,BOG-CHI,10,IV,92000,2021-08-02
458,FUSCA,BOG-CHI,11,IV,69000,2021-08-02
459,FUSCA,BOG-CHI,12,IV,69000,2021-08-02
460,FUSCA,BOG-CHI,13,IV,46000,2021-08-02
461,FUSCA,BOG-CHI,14,IV,46000,2021-08-02
